BN,Category,Sub Category,Designation,Legal Name,Account Name,Address Line 1,Address Line 2,City,Province,Postal Code,Country
119043669RR0001,0190,0099,C,"MISSISSAUGA PLAYERS THEATRE GROUP","MISSISSAUGA PLAYERS THEATRE GROUP","4230 MARTLEN CRES","","MISSISSAUGA",ON,L5L2H3,CA
835877580RR0001,0100,0009,C,"Home Hospice Association","Home Hospice Association","3802 - 2220 LAKE SHORE BLVD W","","ETOBICOKE",ON,M8V0C1,CA
804470342RR0001,0190,0001,A,"CHANGING DESTINIES FOUNDATION FOR DYSLEXIA","CHANGING DESTINIES FOUNDATION FOR DYSLEXIA","2294 10TH AVE W","","VANCOUVER",BC,V6K2H8,CA
126734565RR0001,0012,0003,C,"CAHOOTS THEATRE PROJECTS","CAHOOTS THEATRE PROJECTS","3 - 388 QUEEN ST E","","TORONTO",ON,M5A1T3,CA
889906426RR0001,0012,0002,C,"CANTARE CHILDREN'S CHOIR SOCIETY","CANTARE CHILDREN'S CHOIR SOCIETY","3212 PALLISER DR SW","","CALGARY",AB,T2V4B7,CA
892334640RR0001,0015,0002,B,"TRUST UNDER WILL OF REUBEN W LEONARD FOR UNIVERSITY OF TORON","TRUST UNDER WILL OF REUBEN W LEONARD FOR UNIVERSITY OF TORONTO","66 WELLINGTON STREET W","36TH FLOOR","TORONTO",ON,M5K1A2,CA
773504600RR0002,0160,0015,C,"CityServe Canada Ltd.","CityServe Canada Ltd.","602 - 11655 BRAMALEA RD","","BRAMPTON",ON,L6R4B7,CA
804203636RR0001,0190,0008,C,"BRAVO NIAGARA! FESTIVAL OF THE ARTS","BRAVO NIAGARA! FESTIVAL OF THE ARTS","3 RAMPART ST","","NIAGARA ON THE LAKE",ON,L0S1J0,CA
899531644RR0001,0160,0099,C,"PLAMONDON AND WANDERING RIVER COMMUNITY RESOURCE SOCIETY","PLAMONDON AND WANDERING RIVER COMMUNITY RESOURCE SOCIETY","BOX 149","","WANDERING RIVER",AB,T0A3M0,CA
777484809RR0001,0200,0014,C,"Kichi Sibi Winter Trail","Kichi Sibi Winter Trail / Sentier d'hiver Kichi Sibi","378 SELBY AVE","","OTTAWA",ON,K2A0A1,CA
729196139RR0001,0013,0099,C,"Parents Against Driving High","Parents Against Driving High","1644 - 2967 DUNDAS ST W","","TORONTO",ON,M6P1Z2,CA
819795139RR0001,0012,0002,C,"BAKERVIEW MUSIC ACADEMY SOCIETY","Bakerview Music Academy Society","3 - 36130 WATERLEAF PL","","ABBOTSFORD",BC,V3G0G5,CA
118913003RR0001,0001,0099,C,"FAMILY MEDIATION CANADA","FAMILY MEDIATION CANADA","1650 - 246 STEWART GREEN SW","","CALGARY",AB,T3H3C8,CA
894375583RR0001,0160,0006,C,"SOUTHWEST DAY CARE AND EARLY LEARNING CENTRE INC.","SOUTHWEST DAY CARE AND EARLY LEARNING CENTRE INC.","504 - 4TH AVENUE S.W.","","MOOSE JAW",SK,S6H5V7,CA
118870500RR0001,0030,0099,C,"SOUTHLAND CHURCH INC.","Southland Church Inc.","190 PTH 52 W","","STEINBACH",MB,R5G1Y1,CA
758480735RR0001,0011,0003,C,"Bourse Memorial - Rev. A. Turenne  O.M.I - Memorial Scholarship Fund","Bourse Memoriale - Rev. A. Turenne  O.M.I.  - Memorial Sch olarship","8802 109 AVE","","GRANDE PRAIRIE",AB,T8X1N8,CA
810236273RR0001,0170,0001,C,"FRASER VALLEY WATERSHEDS COALITION","FRASER VALLEY WATERSHEDS COALITION","45950 CHEAM AVENUE","","CHILLIWACK",BC,V2P1N6,CA
119154680RR0001,0160,0099,C,"RIGHT TO QUIET SSAP SOCIETY FOR SOUNDSCAPE AWARENESS AND PROTECTION","RIGHT TO QUIET SSAP SOCIETY FOR SOUNDSCAPE AWARENESS AND PROTECTION","612 KENT RD","","VICTORIA",BC,V8Z1Z1,CA
131033045RR0001,0010,0099,C,"Comquat Inc.","COMQUAT INC.","132A - 25 BOUL DON-QUICHOTTE","","L'ILE-PERROT",QC,J7V7X4,CA
838084283RR0001,0160,0001,C,"FRASER RIVER INDIGENOUS SOCIETY","Fraser River Indigenous Society","200 - 11830 223 ST","","MAPLE RIDGE",BC,V2X5Y1,CA
758226518RR0001,0030,0008,C,"Bolton Congregation of Jehovah's Witnesses  Bolton  Ontario","Bolton Congregation of Jehovah's Witnesses  Bolton  Ontario","102 HANTON CRES","","BOLTON",ON,L7E2E4,CA
764969887RR0001,0030,0008,C,"Chase River Congregation of Jehovah's Witnesses  Nanaimo  British Columbia","Chase River Congregation of Jehovah's Witnesses  Nanaimo  British Columbia","302-154 PROMENADE DR","","NANAIMO",BC,V9R6Y3,CA
892962192RR0001,0070,0005,C,"SLAVIC HOPE MISSION","SLAVIC HOPE MISSION","300 - 1208 PENDER ST W","","VANCOUVER",BC,V6E2S8,CA
119283901RR0001,0010,0099,C,"VICTORIA CHRISTIAN EDUCATION SOCIETY","VICTORIA CHRISTIAN EDUCATION SOCIETY","671 AGNES ST","","VICTORIA",BC,V8Z2E6,CA
137658142RR0001,0200,0007,C,"THE J.G. TAYLOR COMMUNITY CENTRE INC.","THE J.G. TAYLOR COMMUNITY CENTRE INC.","177 KING ST E","","CHATHAM",ON,N7M3N1,CA
